"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"1","Dolichandra unguis-cati","Dolichandra","","unguis-cati",NA,NA,"","","kew-320930",TRUE,"1.1","Accepted","Bignoniaceae","Dolichandra","","unguis-cati","","","(L.) L.G.Lohmann","kew-320930","Accepted",FALSE,FALSE,FALSE,2018-03-26
"2","Erigeron foliosus var. foliosus","Erigeron","","foliosus",NA,"var.","foliosus","","gcc-3054",TRUE,"1.1","Synonym","Compositae","Erigeron","","foliosus","","","Nutt.","gcc-116636","Accepted",FALSE,FALSE,FALSE,2018-03-26
"3","Gnaphalium antillanum","Gnaphalium","","antillanum",NA,NA,"","","gcc-47004",TRUE,"1.1","Accepted","Compositae","Gnaphalium","","antillanum","","","Urb.","gcc-47004","Accepted",FALSE,FALSE,FALSE,2018-03-26
"4","Heliopsis buphthalmoides","Heliopsis","","buphthalmoides",NA,NA,"","","gcc-7624",TRUE,"1.1","Accepted","Compositae","Heliopsis","","buphthalmoides","","","(Jacq.) Dunal","gcc-7624","Accepted",FALSE,FALSE,FALSE,2018-03-26
"5","Pluchea baccharis","Pluchea","","baccharis",NA,NA,"","","gcc-137413",TRUE,"1.1","Accepted","Compositae","Pluchea","","baccharis","","","(Mill.) Pruski","gcc-137413","Accepted",FALSE,FALSE,FALSE,2018-03-26
"6","Quercus laevis x hemisphaerica","Quercus","×","laevis",NA,NA,"hemisphaerica","","kew-173479",FALSE,"1.1","Accepted","Fagaceae","Quercus","","laevis","","","Walter","kew-173479","Accepted",FALSE,FALSE,TRUE,2018-03-26
"7","Quercus laevis x incana","Quercus","×","laevis",NA,NA,"incana","","kew-173479",FALSE,"1.1","Accepted","Fagaceae","Quercus","","laevis","","","Walter","kew-173479","Accepted",FALSE,FALSE,TRUE,2018-03-26
"8","Sideroxylon reclinatum subsp. rufotomentosum","Sideroxylon","","reclinatum",NA,"subsp.","rufotomentosum","","kew-192107",TRUE,"1.1","Accepted","Sapotaceae","Sideroxylon","","reclinatum","subsp.","rufotomentosum","(Small) Kartesz & Gandhi","kew-192107","Accepted",FALSE,FALSE,FALSE,2018-03-26
"9","Verbesina heterophylla","Verbesina","","heterophylla",NA,NA,"","","gcc-105053",TRUE,"1.1","Accepted","Compositae","Verbesina","","heterophylla","","","A.Gray","gcc-105053","Accepted",FALSE,FALSE,FALSE,2018-03-26
"10","Zanthoxylum clava-herculis","Zanthoxylum","","clava-herculis",NA,NA,"","","tro-28100530",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","clava-herculis","","","L.","tro-28100530","Accepted",FALSE,FALSE,FALSE,2018-03-26
